title,genre
"Gettysburg","War"
"Gettysburg","Drama"
"Gettysburg","History"
"Abandon","Drama"
"Abandon","Mystery"
"Abandon","Thriller"
"Sheena","Action"
"Sheena","Adventure"
"Sheena","Comedy"
"Sheena","Fantasy"
"Sheena","Science Fiction"
"Underclassman","Action"
"Underclassman","Comedy"
"Blindness","Drama"
"Blindness","Mystery"
"Blindness","Science Fiction"
"Blindness","Thriller"
"BloodRayne","Action"
"BloodRayne","Adventure"
"BloodRayne","Fantasy"
"BloodRayne","Horror"
"Carnage","Comedy"
"Carnage","Drama"
"Ironclad","Romance"
"Ironclad","Adventure"
"Ironclad","Action"
"Ironclad","History"
"Waterloo","History"
"Waterloo","Action"
"Waterloo","Drama"
"Footloose","Drama"
"Footloose","Family"
"Footloose","Music"
"Footloose","Romance"
"Faster","Crime"
"Faster","Drama"
"Faster","Action"
"Faster","Thriller"
"Zombieland","Comedy"
"Zombieland","Horror"
"Her","Romance"
"Her","Science Fiction"
"Her","Drama"
"Haywire","Action"
"Haywire","Thriller"
"Forsaken","Western"
"Forsaken","Drama"
"1408","Horror"
"1408","Thriller"
"Spaceballs","Comedy"
"Spaceballs","Science Fiction"
"Ghost","Fantasy"
"Ghost","Drama"
"Ghost","Thriller"
"Ghost","Mystery"
"Ghost","Romance"
"Gandhi","Drama"
"Gandhi","History"
"Underworld","Fantasy"
"Underworld","Action"
"Underworld","Thriller"
"Derailed","Drama"
"Derailed","Thriller"
"Shadowlands","Drama"
"Shadowlands","Romance"
"Homefront","Action"
"Homefront","Thriller"
"Zwartboek","Drama"
"Zwartboek","Thriller"
"Zwartboek","War"
"Sorcerer","Action"
"Sorcerer","Thriller"
"Sorcerer","Adventure"
"Stone","Drama"
"Metegol","Animation"
"Metegol","Adventure"
"Metegol","Romance"
"Firefox","Science Fiction"
"Firefox","Action"
"Firefox","Adventure"
"Firefox","Thriller"
"Hardball","Comedy"
"Hardball","Romance"
"Molly","Drama"
"Molly","Comedy"
"Molly","Romance"
"eXistenZ","Action"
"eXistenZ","Thriller"
"eXistenZ","Science Fiction"
"eXistenZ","Horror"
"Pulse","Horror"
"Pulse","Thriller"
"Tammy","Comedy"
"Holes","Adventure"
"Holes","Family"
"Holes","Drama"
"Holes","Comedy"
"Drumline","Drama"
"Drumline","Romance"
"Drumline","Comedy"
"Drumline","Music"
"Selma","History"
"Selma","Drama"
"Boogeyman","Thriller"
"Boogeyman","Horror"
"Boogeyman","Drama"
"Boogeyman","Mystery"
"Premonition","Thriller"
"Premonition","Drama"
"Premonition","Mystery"
"Orphan","Horror"
"Orphan","Thriller"
"Orphan","Mystery"
"Max","Adventure"
"Max","Drama"
"Max","Family"
"Spotlight","Drama"
"Spotlight","Thriller"
"Spotlight","History"
"Selena","Drama"
"Babel","Drama"
"Doubt","Drama"
"Doubt","Mystery"
"Copycat","Drama"
"Copycat","Thriller"
"Milk","History"
"Milk","Drama"
"Risen","Action"
"Daybreakers","Fantasy"
"Daybreakers","Horror"
